idUsuario,idEvento
2856,98
5990,35
2517,111
9072,222
9327,374
8309,468
6348,562
9912,15
2069,505
7705,396
3780,340
2721,81
3390,341
11071,134
1483,24
2195,1
3592,494
2472,344
5742,181
8553,343
3639,410
3830,549
2303,208
6068,378
3358,362
3388,586
10804,279
7361,114
2234,319
980,388
5505,322
4198,327
2765,295
9688,321
7486,290
2590,511
1053,238
620,80
695,346
7270,296
7143,189
7179,521
178,223
7489,117
6859,535
10057,496
3512,447
1255,405
10499,319
11190,402
6429,525
522,293
7680,100
992,57
690,559
9537,416
6665,71
10804,395
8531,0
8289,79
137,246
7347,593
4693,296
5913,225
7653,320
10735,275
7586,290
5325,72
5244,222
10878,332
3668,359
5684,251
2399,120
9136,419
2565,557
622,455
10589,73
11855,141
8085,374
440,561
6555,577
9475,140
11266,393
10443,3
2383,533
64,135
11219,387
5053,105
9849,539
2060,219
1777,416
5827,204
1361,135
9175,554
4361,376
5840,344
4170,284
5028,548
4504,400
10335,569
16,512
9535,476
9210,492
4471,289
6601,3
3352,179
9127,72
4905,117
10765,78
3829,145
7608,493
5408,575
1279,7
3097,125
3239,332
11753,168
3423,329
9512,541
10943,74
1538,233
10370,402
6507,246
1276,276
7128,524
11657,8
10870,373
3984,559
2012,33
8438,190
257,580
8864,68
5772,598
3497,359
2699,230
7903,544
3230,536
4965,373
1647,523
494,301
7927,126
11607,596
11112,375
1147,398
701,17
4937,445
7855,354
8121,42
7147,461
6831,81
4698,541
9948,385
11566,11
5819,522
4703,76
10257,100
9308,397
5271,375
4653,338
4271,265
5409,400
5625,415
8537,565
609,469
3164,561
5111,219
6826,207
4313,429
8243,323
10587,473
4850,171
4616,110
1826,221
4918,24
2003,302
5172,588
1376,99
11329,232
3864,448
5511,223
4865,122
9854,309
9594,180
3902,147
6932,502
6897,471
2211,583
3238,119
2409,525
4013,563
4722,440
2579,395
10354,256
9289,186
2126,173
2397,67
5048,117
9546,254
4371,213
4939,333
166,45
4022,179
10090,508
7844,439
2824,10
1237,598
8919,317
506,314
11156,62
10584,491
2837,193
6194,387
8475,405
4167,400
6753,105
4420,297
565,41
2411,349
2677,584
7613,177
10557,89
4032,207
374,239
5510,263
5647,296
7475,122
2989,314
9822,311
2088,24
3433,174
9655,240
7294,348
37,252
5422,520
11627,469
4632,83
11384,93
2164,248
6292,393
10251,35
4730,584
3551,379
9961,511
6384,94
8722,100
11627,512
5391,557
9756,349
9704,487
4277,30
5192,254
1120,506
6559,509
4234,582
4135,221
5280,330
129,426
11920,184
425,91
10625,513
5664,189
10040,151
10243,463
10482,491
7122,382
10023,572
9744,186
