idUsuario,idPropuesta
2616,883
5796,637
7887,559
10059,59
8906,79
20,477
109,621
4861,618
3596,486
3604,609
3381,883
5397,757
5680,419
5121,277
11707,385
5695,653
5146,857
7928,127
10452,777
3219,894
72,1107
9818,353
8361,615
8118,885
2329,38
9624,37
8259,344
1299,546
3806,933
9496,836
7277,264
5259,769
9082,1148
7354,1081
11671,833
2731,410
6414,69
274,807
3207,1106
1302,715
11696,766
10966,140
2739,627
6308,1100
1228,1024
847,554
1111,1105
10472,448
11251,1109
7609,579
7631,251
5331,904
4677,408
634,393
10644,274
1449,653
10168,620
422,236
1364,418
11637,844
7768,865
10621,794
329,750
1152,399
6773,1014
2129,453
4439,189
2182,922
7607,1174
6577,341
1454,825
11582,696
5635,1110
6950,247
4624,293
11917,949
146,554
8625,633
571,163
10241,760
10838,715
5691,1145
5538,1144
9504,396
8091,32
6714,23
1995,791
5510,849
11233,1109
11936,62
10678,1028
1351,752
4714,41
9960,911
5768,653
5236,500
1950,288
1532,6
5181,571
11745,497
1823,911
947,5
8516,569
3057,801
1417,557
743,499
10550,622
1784,125
6494,479
3849,1089
10113,825
9708,919
1682,1084
4818,836
6603,809
8847,628
8382,904
11810,816
4855,86
999,643
7975,541
6728,616
4115,400
3022,377
724,405
1154,549
628,355
564,703
8377,815
11142,0
1664,1055
895,504
9218,198
1441,182
8479,77
10540,104
2275,960
5460,894
7157,1173
8202,471
5517,311
10594,293
592,285
1025,1173
101,877
4123,718
4992,906
8841,258
6415,659
586,304
949,1136
4260,1176
8597,134
4969,199
7295,236
8401,907
10684,467
6243,20
3448,775
7444,196
4020,385
10182,1024
222,737
7278,360
2370,596
7769,418
6407,1019
5570,402
7192,1025
1277,656
9173,189
11033,1058
2654,293
11318,670
2989,817
5407,823
2157,326
3195,1112
4387,775
8255,863
11285,1162
1487,889
11433,17
10747,1096
565,1097
9266,434
10230,119
6115,560
4657,90
801,915
1062,995
10019,1049
4061,726
2304,1096
6238,483
2261,494
11812,431
7196,972
5127,932
11709,485
1255,762
5752,792
8032,676
3241,937
7311,777
9161,746
8332,1060
5142,181
2022,1135
10207,672
114,1104
7093,502
2993,1036
1508,215
4134,177
10074,263
7261,516
4505,564
11458,941
11399,18
7217,298
5423,1099
4345,413
6169,1057
2915,805
8148,11
1356,488
10859,744
9670,95
10132,215
8054,654
6803,121
1960,659
8613,969
8993,856
2417,203
2403,728
2702,428
7517,722
2180,668
3244,287
10844,533
4344,1151
3211,313
7097,61
8362,648
2508,171
8787,792
4132,336
9568,1154
9286,898
10072,988
4973,416
4451,318
5231,1011
11919,944
2013,803
7794,805
902,1002
8895,1098
6221,1118
8558,109
1813,117
6039,492
3834,804
8181,246
3388,448
11489,21
10330,1041
10935,291
9270,983
6906,589
6518,158
819,365
11477,984
7516,157
7412,800
11310,309
1214,72
2161,1152
5320,801
8544,118
1155,626
999,354
5413,860
1462,941
4455,1188
2056,1103
9088,425
4466,841
5974,541
8648,794
2880,363
3299,988
504,1097
6385,749
69,465
10132,1100
921,845
1670,137
3605,154
5008,577
2242,275
9177,897
1970,66
6050,26
8381,734
10110,563
10963,769
2928,660
5784,507
10823,808
6930,1028
7671,352
403,1035
6378,86
4884,692
1681,319
10778,293
10879,90
3108,78
2979,1024
2745,1069
8651,215
4523,729
4935,184
2336,371
11836,773
1379,493
5698,826
5240,527
7329,158
11582,94
6611,743
5694,1109
11048,633
8212,1094
833,754
684,225
7347,375
5800,1188
11339,154
10212,655
11862,333
7819,555
11739,243
1538,1166
843,439
7812,608
3472,1121
5820,384
6418,1031
9947,712
9298,458
1005,371
9679,639
6909,127
4711,1178
8857,238
8365,373
5438,79
2229,511
4506,935
8386,1045
4301,691
6405,1195
3641,997
6302,405
11050,1037
9155,245
5887,138
7937,49
4245,263
9882,754
9069,1080
7338,866
7184,550
624,911
5548,497
6489,272
9705,943
7509,357
1370,303
6992,446
2186,1198
8057,945
11201,996
2353,652
9114,793
11092,619
5983,449
3608,609
8731,680
450,745
4972,976
3578,224
8901,810
8804,657
2249,313
7983,985
9705,682
380,793
8183,121
8442,523
6942,402
4637,129
4291,981
4365,357
6977,1173
7602,354
9463,703
1923,652
5648,753
1063,43
10652,103
9834,406
2167,417
9276,647
5734,375
279,2
9927,95
11129,769
10848,377
1764,254
1004,97
5571,165
92,476
5450,1128
10968,1070
5924,438
11188,739
3633,205
8506,56
7089,469
3805,897
3703,354
362,426
11288,51
3475,1126
2322,994
2192,743
2819,704
2084,1111
11142,1
5935,795
10065,277
9646,1173
8680,654
4889,873
3919,587
8101,211
10022,205
3300,810
2952,126
11165,979
6352,405
3457,204
11203,291
5809,1008
10198,36
4794,723
7011,1122
7765,882
8316,1157
185,476
10193,1140
7662,133
11968,634
5668,66
1679,925
914,932
10325,1110
6846,1150
8377,906
5914,861
1766,146
9879,289
2723,358
1141,25
7211,842
9896,1178
8228,605
5857,544
9220,370
3818,887
710,816
2852,67
7974,844
2028,1117
5744,207
9521,893
9391,373
1774,90
10167,184
3238,192
8237,527
10916,373
10033,1142
2305,610
537,1065
8200,251
3765,81
670,149
1814,559
3139,496
1424,1122
4127,504
9784,347
9048,1129
11171,786
11839,21
7073,785
1601,908
7553,1196
10361,193
10574,1029
11996,996
4099,590
10812,1113
10728,902
10892,1115
6041,504
9441,91
7266,1136
11391,841
10004,73
6377,1117
1083,244
5695,500
10707,390
8560,933
7416,434
2105,945
908,458
2147,891
8397,677
11549,464
6483,844
5394,1158
11880,568
3582,61
1835,645
6113,612
11743,682
8348,103
7659,186
10323,356
11857,465
528,107
10061,133
65,908
10078,970
4402,335
254,362
5620,504
8541,582
1752,50
5897,363
2975,224
3206,324
2519,717
9751,1129
8202,1105
10303,496
10448,164
3310,1036
3507,385
699,879
6203,27
1299,477
7702,776
1612,716
9561,373
8275,768
85,125
11477,947
8654,925
5423,324
6246,1046
8450,660
6356,867
6916,401
822,766
3018,1115
5644,1117
2729,341
1256,1058
11195,715
11530,786
4756,766
5424,382
717,392
3842,298
5542,673
180,1159
1322,1049
11219,572
10756,926
3832,163
6332,80
10576,1026
10222,816
6478,1128
7946,175
10566,231
7337,290
11315,1129
8009,156
8872,390
6353,117
706,21
11699,314
8629,1036
10877,787
11316,1080
1045,1066
4151,627
2070,910
3640,450
4045,817
11842,946
809,750
2923,429
6217,806
419,661
2148,517
1625,651
11216,928
8584,73
2217,530
9493,179
4662,511
602,1103
9689,457
10933,200
9111,958
8028,654
5441,191
4045,339
10015,166
1451,404
2106,379
8571,1156
7403,191
4693,466
9915,441
3776,729
2118,415
6362,104
3057,971
4896,308
11973,775
5851,233
9959,695
2209,433
5488,279
2312,1109
1020,1030
2550,128
11682,80
11308,921
10808,2
11177,641
8593,296
5007,517
2761,898
6809,548
5616,285
2523,397
9133,539
8743,990
3266,748
5086,512
9864,357
643,1163
7557,569
9395,573
3591,754
924,832
2931,245
110,1017
8165,165
11483,1173
2517,107
10885,167
1120,398
9211,389
5488,119
645,1166
2472,257
9112,456
10046,1119
10211,1017
7040,1
5232,842
9815,433
11926,1155
2277,355
7322,537
1424,1028
11892,106
3497,1020
4753,1089
3212,1154
4431,304
1055,942
9385,1097
4964,78
6131,762
7447,763
9093,222
9995,763
7607,131
11802,780
3843,847
7585,1107
4602,642
11701,1116
4455,777
2132,1176
8990,449
3848,281
5617,794
4535,902
3010,129
