idPropuesta,nombre,descripcion,fechaCreacion,idCreador
0,Denunciar a María Manuela Flores Capdevila,,,1343
1,Hablar con Jose Guillen-Vaquero,,,7521
2,Quitar el busto de Telmo Cabello Mir,,,7471
3,Quitar el busto de Renata Juan Infante,,,2214
4,Quitar el busto de Vinicio Cornejo Carreras,,,3778
5,Denunciar a Visitación Bou-Barreda,,,6023
6,Echar a Elba Becerra-Naranjo,,,10645
7,Quitar el busto de Nicodemo Canales,,,10818
8,Quitar el busto de Adora de Arnaiz,,,7161
9,Denunciar a Nazario Rosado Cervera,,,8288
10,Hablar con Mauricio Cabo Ávila,,,2624
11,Denunciar a Cruz Luisina Cabo Durán,,,7843
12,Echar a Abel Fuster Abad,,,2864
13,Denunciar a Martín Rojas,,,6773
14,Hablar con Celestina Daza Reig,,,8749
15,Quitar el busto de Nadia González Farré,,,11549
16,Quitar el busto de Casemiro Menendez Borja,,,4454
17,Echar a Matías Lozano Valle,,,3609
18,Quitar el busto de Marcia Vázquez,,,5234
19,Hablar con Úrsula Garmendia-Huertas,,,5082
20,Hablar con Duilio Royo Luque,,,3826
21,Quitar el busto de Efraín Aliaga,,,2223
22,Quitar el busto de Cristina Garcia,,,4541
23,Quitar el busto de Nico León Álamo,,,7065
24,Hablar con Eusebia Salamanca Cabezas,,,7124
25,Hablar con Antonia Salamanca Campo,,,5331
26,Quitar el busto de Jordán de Villena,,,2216
27,Hablar con Lorenza del Domínguez,,,1533
28,Quitar el busto de Cirino Suárez Núñez,,,4395
29,Denunciar a Rufino Morales Galán,,,11908
30,Echar a Plinio Rebollo,,,10916
31,Hablar con Isidro Galvez Castellanos,,,9304
32,Hablar con Ruth Chamorro Roman,,,5863
33,Echar a Valentina Rius Muro,,,3483
34,Quitar el busto de Nidia Macarena Andrés Montaña,,,1652
35,Echar a Nazaret Solé-Cervantes,,,6024
36,Quitar el busto de Iris Cepeda Machado,,,5562
37,Quitar el busto de Miguela Pujadas Sánchez,,,2438
38,Denunciar a Agustina Cobo,,,6548
39,Quitar el busto de Maximiliano Berenguer Campillo,,,4848
40,Hablar con Pía Carmona Planas,,,3081
41,Hablar con Prudencia Llano Borrego,,,965
42,Echar a Josep Morán Vázquez,,,6345
43,Echar a Reyna Iglesias,,,11178
44,Quitar el busto de Sandalio Gargallo,,,9630
45,Hablar con Dafne Gámez Espinosa,,,8164
46,Echar a Remigio Aragón Chacón,,,9944
47,Denunciar a Adrián Higueras Sanjuan,,,8122
48,Denunciar a Reyes Tenorio,,,3366
49,Denunciar a Nacio Casado-Ferreras,,,5648
50,Denunciar a Roxana del Domínguez,,,8116
51,Echar a Amanda Tomé,,,5684
52,Denunciar a Valerio del Julián,,,2964
53,Echar a Araceli Carlos Manso,,,9017
54,Denunciar a Wálter Villanueva,,,903
55,Hablar con Javiera Román Pi,,,8640
56,Hablar con Armida Jaume Iglesias,,,10252
57,Denunciar a Estrella del Cañizares,,,10415
58,Quitar el busto de Amor Roldán Chico,,,4953
59,Quitar el busto de Esteban Salgado Sanchez,,,7182
60,Hablar con Godofredo Royo Borrás,,,3833
61,Hablar con Lorena Ribes Madrid,,,2134
62,Quitar el busto de José Luis Millán Agudo,,,7848
63,Hablar con Jacinta Salas Blazquez,,,4303
64,Hablar con Julia Moll Tamayo,,,7374
65,Echar a Mirta del Ledesma,,,1729
66,Quitar el busto de Balduino Serna Martí,,,10525
67,Quitar el busto de Pastor Pulido Aliaga,,,11468
68,Echar a Maximiano Guerra Requena,,,6722
69,Quitar el busto de Fito de Escrivá,,,8294
70,Hablar con Glauco de Pallarès,,,6269
71,Echar a Piedad Busquets Galindo,,,1703
72,Hablar con Jimena de Rico,,,5994
73,Denunciar a Genoveva Manrique Peralta,,,9797
74,Quitar el busto de Delia Mulet Losa,,,9813
